"duration","treatment","female","black","hispanic","ndependents","recall","young","old","quarter","durable","lusd"
18.0113426602477,0,0,0,0,2,0,0,0,5,0,0
1.00339945105232,0,0,0,0,0,0,0,0,5,0,1
26.9603963375939,0,0,0,0,0,0,0,0,4,0,1
7.00904436839551,1,0,0,0,0,0,0,0,2,0,0
9.0224091368653,1,0,0,0,0,0,1,0,3,0,0
26.9913896003317,0,0,0,0,1,0,0,1,5,1,1
27.0008196889959,0,1,0,0,0,0,0,1,5,0,1
9.00051755981168,0,1,0,0,1,0,0,1,5,0,1
27.0036953395323,0,1,0,0,1,0,0,0,0,0,1
26.0118904037665,1,1,0,0,0,0,0,1,3,0,0
15.011748313805,0,1,0,0,0,0,0,0,2,0,1
28.005604787186,0,1,0,0,0,0,0,1,3,0,1
11.997609563308,0,1,0,0,2,1,1,0,4,0,0
22.0214310061188,1,1,0,1,2,0,1,0,2,0,0
17.9849767097539,0,1,0,0,0,0,0,1,5,0,0
0.997345388250689,0,1,0,0,2,0,0,0,2,0,0
1.00797991700265,1,0,0,0,0,0,1,0,4,0,1
7.00189066012821,1,1,0,0,0,0,0,0,3,0,1
17.0212649596245,1,1,0,0,0,0,0,1,3,0,0
18.0018872387254,0,0,0,0,0,0,0,0,0,1,1
5.00474671265599,1,1,0,0,0,0,1,0,3,0,0
13.9995583389383,0,0,0,0,2,0,0,0,2,0,1
4.99282422728513,0,0,0,0,0,0,0,1,3,0,1
27.0025008604008,1,0,0,0,0,0,0,0,3,0,1
8.99050363555668,0,0,0,0,0,0,0,0,5,0,1
3.00259980831221,0,0,1,0,0,0,0,0,4,0,0
26.9930115137374,0,0,0,0,1,0,1,0,3,0,0
26.9844872992467,1,1,0,0,2,1,0,0,3,0,0
26.9961253176932,1,1,0,0,0,0,0,0,3,0,0
9.98372045064783,0,0,0,0,0,0,1,0,5,0,0
25.0072171453017,0,0,0,1,2,1,1,0,2,0,1
0.994359667808823,1,0,0,0,0,0,0,1,3,0,1
0.993920755256363,1,0,0,0,0,0,0,0,5,0,1
3.01457059856488,1,0,0,0,0,0,1,0,5,0,0
13.0114139339372,1,0,0,0,2,0,1,0,2,0,0
0.987423768366211,0,0,0,0,0,0,1,0,5,0,0
1.01083887893028,1,1,0,0,0,0,0,1,3,0,0
26.9986887952916,0,0,0,0,0,0,1,0,4,1,1
13.9966620090091,1,0,0,0,2,0,1,0,4,0,1
17.9927451039723,0,0,0,0,1,0,0,1,5,1,1
8.99431076381387,1,1,0,0,0,0,1,0,4,1,1
1.01573465212788,1,0,1,0,0,0,1,0,3,0,1
5.9947354846673,1,0,0,0,1,1,0,0,3,1,0
3.98924284734253,0,0,0,0,0,0,0,0,5,0,1
0.993154676755966,1,1,0,0,1,0,0,0,4,0,0
2.01712670401052,0,1,0,0,0,0,0,0,3,1,1
10.9865670487502,1,1,0,0,2,1,0,0,5,0,0
28.0035604679649,0,0,0,0,0,0,0,1,2,0,1
27.0053269625084,0,0,0,0,0,0,0,0,4,0,0
8.01327574775036,1,0,0,0,0,0,1,0,4,0,1
2.99746300753922,1,1,0,0,0,0,0,0,3,0,1
